ID,[Area] Sample127,[Area] Sample128,[Area] Sample129,[Area] Sample130,[Area] Sample131,[Area] Sample132,[Area] Sample133,[Area] Sample134,[Area] Sample137,[Area] Sample138,[Area] Sample139,[Area] Sample140,[Area] Sample141,[Area] Sample142,[Area] Sample143,[Area] Sample144,[Area] Sample145,[Area] Sample148,[Area] Sample149,[Area] Sample150,[Area] Sample151,[Area] Sample152,[Area] Sample153,[Area] Sample154,[Area] Sample155,[Area] Sample158,[Area] Sample159,[Area] Sample160,[Area] Sample161,[Area] Sample162,[Area] Sample163,[Area] Sample164,[Area] Sample165,[Area] Sample168,[Area] Sample169,[Area] Sample170,[Area] Sample171,[Area] Sample172,[Area] Sample173,[Area] Sample174,[Area] Sample175,[Area] Sample178,[Area] Sample179,[Area] Sample180,[Area] Sample181,[Area] Sample182,[Area] Sample183,[Area] Sample184,[Area] Sample185,[Area] Sample186,[Area] Sample189,[Area] Sample190,[Area] Sample191,[Area] Sample192,[Area] Sample193,[Area] Sample194,[Area] Sample195,[Area] Sample196,[Area] Sample197,[Area] Sample200,[Area] Sample201,[Area] Sample202,[Area] Sample203,[Area] Sample204,[Area] Sample205,[Area] Sample206,[Area] Sample207,[Area] Sample218,[Area] Sample219,[Area] Sample220,[Area] Sample221,[Area] Sample222,[Area] Sample223,[Area] Sample224,[Area] Sample225,[Area] Sample226,[Area] Sample229,[Area] Sample230,[Area] Sample231,[Area] Sample232,[Area] Sample233,[Area] Sample234,[Area] Sample235,[Area] Sample236,[Area] Sample239,[Area] Sample240,[Area] Sample241,[Area] Sample242,[Area] Sample243,[Area] Sample244
name,y60,y48, y33,w36,g13,r110,b18,PW,y60,r110,y60,b18,g13,w36,w36,b18,08A529,04LO73,03LO50,04LO60,12LO75,13LO82,08LO29,12LO38,08LO24,10LO33,04LO73,03LO50,04LO60,2LO75,13LO82,08LO29,12LO38,08LO24,10LO33,17RB16,17RB16,17RB35,17RB35,17RB61,17RB61,17RB68,17RB68,13CLM14,13CLM1,13CLM2,13CLM7,13CLM8,13CLM9,13CLM10,13CLM11,R6,R7,E14,E15,E16,R2,E20,E11,E13,E16,E14,R5,295,39,17-2,17-4,17-3,gigi,46,47,48,49,50,MT-5,3728,3730,830,10206,10207,10208,10211,10216,10217,10428,04LO49,05LO53,11LO40,11LO44,13LO02
class,Chronic,Chronic,Chronic,Negative,Negative,Chronic,Negative,Negative,Chronic,Chronic,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Chronic,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Chronic,Negative,Negative,Negative,Negative,Negative,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Negative,Negative,Negative,Negative,Sample
707.4818a4.17,11416.95925,52163.53129,4977.075132,0,15264.59638,11952.49051,12409.58598,9872.499332,37594.58761,12437.964,17766.90966,9205.76765,12255.85159,12231.05166,13695.28353,10567.90531,177576.7273,16523.26667,14122.76105,39731.83764,6034.772609,35378.78532,19978.18499,66992.73579,39853.80059,9673.41016,9026.546277,3755.647474,331544.4946,16448.14596,3021.66374,5637.666736,30691.90129,48458.39139,75038.84817,25798.92391,19151.2987,38001.84971,20679.86318,96801.82477,34335.02522,24307.1012,37934.74753,17658.1158,0,22593.80376,11593.61138,8863.550366,5893.55618,7745.034609,10712.6696,48732.04864,60421.82925,147981.8699,33426.73819,39764.17413,0,0,0,37408.80794,0,31445.09596,34845.3423,13109.306,10253.55968,17451.205,7524.936941,17337.83976,0,0,3547.771793,5373.469311,8005.322233,17217.57911,5060.901617,56417.81466,43892.47272,9521.48748,34151.83822,0,49411.36358,62034.02345,61055.60409,83315.54027,80715.66682,0,0,11246.88591,25136.95549,0
149.0874a1.14,38867.55219,28891.84077,39554.68526,41893.41963,41422.30306,46756.69935,67129.44608,69770.75867,33854.47426,65455.94048,7272.747096,37964.91154,28332.31616,24645.54558,60160.63229,46663.63282,0,38328.76691,48041.32275,19893.8583,31507.87336,68957.10537,97035.90436,13319.39383,70389.48655,140305.0919,49929.85818,53154.01222,0,73595.92498,27481.70992,19488.59554,86588.66706,18751.23085,0,0,43465.2856,0,0,50273.59384,15375.75534,16414.86596,37303.92662,77481.20444,31917.68818,18816.97987,68680.73246,47835.77245,56982.18967,26483.73036,36260.96392,53350.80605,0,0,43586.56705,0,759176.2988,14002.56431,0,0,9357.830425,66061.59055,0,0,13855.68615,29596.11251,24364.75776,43211.82886,74640.33939,63683.69239,27176.91499,40808.78241,37711.56892,41112.46279,46416.01302,0,0,18939.4662,0,0,0,0,0,0,0,19041.90386,37864.90068,0,26289.38144,16910.57721
476.8214a3.38,0,0,3427.181669,0,28465.09967,11206.22531,0,4142.813135,4380.543715,53967.24615,8217.094581,0,0,0,0,0,27862.49751,13915.44737,0,12375.76989,9729.361773,26463.0885,0,729652.4966,0,0,3562.363389,10694.89496,1550845.166,11325.74733,3196.180912,0,0,13246.19337,214800.1848,76922.25406,33496.96296,234509.742,694515.81,249567.6231,484210.9655,282971.1823,225916.0591,0,9966.27033,0,34791.58733,0,0,0,6117.084976,1156203.293,1966253.139,78615.86453,1194717.534,187240.2484,1237315.479,160117.1027,1492537.896,91145.22697,225016.1216,0,293097.7527,30773.84118,0,45611.12202,3603.163193,0,0,6735.846622,0,0,0,0,18381.38731,17065.10818,57678.87624,15000.85893,22776.06943,145072.1851,61918.4998,57496.79914,10991.12021,330303.3595,53310.99159,341889.0593,12652.89447,94144.29235,1018903.499,0
1732.0203a1.71,0,0,38820.24097,118117.0761,84919.57847,46711.7928,37596.51348,40431.17009,26042.10713,60832.99721,78429.3879,28248.00113,25936.52501,23903.93714,78768.05566,51581.86834,18321.37562,24954.76537,40029.072,23907.67271,21697.68537,26574.72449,49862.82173,20624.55959,71467.42454,39038.20962,19438.74659,20942.44735,26755.13153,26461.84357,15362.04934,17008.47682,69698.61433,37532.36281,22882.10974,22479.39984,25635.7724,25026.99441,37963.92411,64063.38783,42206.36739,50438.66172,41798.52561,65787.17158,139776.9766,194838.9947,136006.5608,89135.64335,20381.13415,17005.51787,24766.42326,20970.54204,135390.1977,97221.75474,63128.89906,69560.07596,79252.43956,169798.7016,123148.0151,56151.89872,23316.40803,88424.72561,102411.0366,54660.43512,19570.84509,32357.29365,30804.09188,21962.2433,0,82456.78573,37251.94049,41703.21097,41549.96898,34535.7564,44605.96811,26449.84002,24349.8036,15500.60187,26736.21075,37287.67674,36187.198,36582.02766,22358.83224,35370.13468,27365.39242,21492.52359,19753.95584,36589.12293,25605.76623,19301.58539
286.1548a1.56,0,0,0,0,0,0,0,0,0,0,0,6166.634118,0,0,0,12780.0895,1883.595916,30417.48087,0,0,72063.75102,0,23995.39558,2717.899942,20600.44163,10326.14999,5665.121397,0,13986.53669,0,3949.946566,5421.707728,237575.4475,9835.041997,11743.88103,3644.967601,5960.05101,6026.069552,0,0,4515.609545,0,0,0,0,0,0,0,0,3155.409131,0,0,0,14662.64411,0,4470.606752,50558.92709,23754.18835,0,2210.928763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6573.215777,5100.437782,0,0,0,0,0,0,0,0
1452.9463a3.38,0,0,0,0,0,0,0,0,0,26361.85144,25385.26251,0,0,0,0,0,55570.89514,30496.62269,9423.219471,0,13959.51907,0,0,44678.88091,0,0,0,13496.40497,44524.73996,6594.727153,0,0,0,0,14762.3146,0,38039.95691,0,61385.65608,200105.2566,30513.24508,8902.799573,87931.45491,0,0,25247.15905,0,11950.91335,0,11303.94193,0,42433.03655,110545.3417,58775.60135,94876.19778,108065.1106,123421.9294,64260.04716,82881.41917,81391.70495,64669.22364,0,33191.84298,24720.78042,17626.44464,0,0,0,0,23342.93631,8836.099684,0,0,0,0,79021.24927,161955.2911,226479.8074,86202.28861,211940.0122,41307.59169,61035.41388,55114.4757,145703.1317,180860.1941,27294.77081,0,0,46971.29233,0
322.2321a2.6,0,0,37718.57454,143465.2486,105487.3215,49024.88834,35526.26616,43975.80646,28844.98376,75900.43818,90845.76573,33346.43352,28219.54068,21625.80381,77148.70788,53622.90203,0,0,47191.52334,22137.54078,21195.35419,29633.55066,50154.23913,21109.7138,79404.47361,47522.61414,0,20276.14619,0,27498.06466,15719.33509,0,84810.71935,37917.0366,19476.08326,16148.29829,33342.46855,20047.76657,31070.33819,27908.57981,32526.11282,0,37655.85829,62646.70477,149715.0896,228229.7344,144502.4215,91861.83075,20874.57471,0,28176.05056,18530.20917,91294.55629,88297.35729,37537.81189,47429.9618,55818.731,102287.8385,66667.20463,34896.38889,47197.32019,40532.08285,79125.1918,37610.92919,18512.12931,22163.32426,16828.18617,19926.07833,0,93803.88422,38171.03491,42606.83675,44750.55913,39575.32266,45342.42763,0,0,0,28414.89012,34967.99755,38661.28431,22225.62892,0,25632.74928,27876.77052,21487.06294,0,29895.4077,22442.23348,18089.86448
1215.8303a3.82,0,36746.77145,0,0,0,0,0,0,0,0,0,5880.740712,0,0,0,0,17147.73988,0,0,0,6494.04683,0,0,25960.60814,0,0,0,0,56410.7345,0,0,0,0,14696.80146,31098.34242,5046.124502,13743.13606,10155.86011,25429.15564,44079.54587,15722.67004,0,22927.02003,0,0,0,0,0,7530.473874,4383.88135,0,79747.59146,123610.0255,52465.81223,79606.99065,91426.55461,97274.62703,121506.8667,243402.143,84848.61569,9586.558565,0,27762.66607,21873.27988,5957.842399,0,0,0,28795.80057,0,0,0,0,0,0,51783.89089,69921.57312,11360.2514,31608.41117,56342.3358,49182.85235,23373.65057,50953.00523,97861.16034,37566.29822,13893.11479,0,0,56590.77328,0
243.1829a2.64,0,0,11896.24238,65963.34305,35902.56013,15820.98563,13719.44466,15144.51315,15989.55874,41936.83526,29477.04966,17959.30391,11945.03139,15411.50138,17206.23526,31181.74946,39219.10868,15383.43151,20897.02,34807.8591,14475.44718,22278.07845,14859.67761,34355.26573,34561.98144,32679.45599,11872.55268,7189.382308,61191.68019,13871.57106,7374.691338,10081.11805,14072.19033,41968.23344,41449.10027,25128.44024,50677.59963,36986.41324,40738.89213,53435.98754,41599.26666,41582.39552,40691.26891,54790.63078,45233.97126,58667.44019,34854.45224,17110.28363,14118.92486,6976.656863,54993.98871,55792.69328,134657.7149,102863.7521,41839.53404,33695.46797,23970.49056,153898.043,81776.76329,60075.7192,88231.30263,18571.02686,76194.07367,36923.36199,10073.19674,7102.336195,0,0,0,33105.8792,10539.62267,8962.680091,14821.19438,8798.718914,12648.24064,48195.29411,23162.33695,26196.28746,49351.94702,64699.75401,81419.01761,57678.8951,46288.75852,53812.74846,70672.59376,35919.5689,7662.721386,16306.07745,44214.81404,7564.498596
1454.9559a3.15,12381.81035,20315.06464,11654.5778,0,13227.20694,12178.65623,16436.50907,15973.07578,66963.39924,38140.38945,41076.22593,0,0,0,0,0,50016.41982,219556.7665,152743.6496,142618.2699,131554.1149,82348.06581,182819.6175,89366.18238,205538.1707,272762.7466,132249.6595,138403.5847,131456.212,175662.7697,54165.0966,216837.9991,108359.2899,110960.6086,163378.7058,0,76460.14172,11214.66573,0,0,17694.5561,34920.22164,0,115786.4875,64252.80809,134975.5752,75671.97128,48044.21861,118897.9693,10026.19766,88415.19057,62403.35298,34927.16148,71595.61637,125518.6021,56293.81508,199865.1274,45718.2036,49293.87936,177864.1497,213876.9841,170350.8483,83792.29674,112186.1194,74896.80958,10926.36555,13115.83621,10936.51494,0,0,0,0,0,14517.52405,0,79425.78501,322456.146,90865.52894,73541.22617,156598.4886,9549.892755,244530.3604,79039.82534,271032.6346,294890.4956,84081.92189,172742.5795,53368.1646,60560.8968,79528.26606
285.2365a2.89,185520.4651,112614.5314,20723.07466,20343.16197,28957.63362,14579.9319,21962.57678,18886.47554,18912.57127,17400.74581,22419.29477,14723.51037,13580.73418,18856.13931,13934.72707,30312.37299,21538.21072,17255.81103,21809.17155,27211.16129,32620.55581,15793.36698,16526.41115,20029.93801,28646.23601,23247.48678,14861.23288,9232.512536,25364.8614,15926.30801,9941.702779,17610.13104,18942.84791,20522.6698,13799.1677,15694.07709,19921.19584,16936.40344,24866.4687,26661.19713,15367.17778,23048.06623,25700.14196,26114.24327,25237.37278,23564.19415,29435.66313,19673.90924,19483.9695,15621.23942,25627.19874,21368.4562,32204.3523,41548.95424,30995.10395,12760.36572,0,51590.43273,36395.8551,40045.73625,23544.36604,23365.81973,27414.90629,22673.51241,21541.64011,10186.02584,14610.44191,16239.98999,4974.652774,26157.67928,12796.6223,16073.65545,18048.71257,19186.88902,18948.28054,23493.74483,7803.592852,19902.03175,19161.12626,25488.90632,30617.15319,24054.17585,22925.6814,21689.86573,44832.9179,18040.78414,10584.49337,12420.14233,14420.89775,6861.012876
884.5216a1.67,69138.75324,85459.48306,47977.8432,72661.80335,90571.85061,71388.35,115035.0125,116705.4222,64796.53622,35765.31675,56060.95151,48853.11856,60703.46124,50430.15781,53881.0038,46630.42451,66784.41356,71346.34593,67139.18163,52799.93843,67398.49184,82273.93951,58698.42327,43218.23639,77400.84108,83298.33788,33420.03314,18175.01368,58761.61842,37234.06993,33305.55008,41226.19576,59977.12424,47566.20681,35252.52765,39970.06523,37955.84328,58803.34231,71386.0969,70743.95791,91797.06209,63971.09267,23243.26051,44873.62545,82911.93562,69927.19151,59298.97303,29428.27198,81637.9056,35019.11539,68371.07721,50451.16212,0,77084.80546,41156.66598,32465.84753,28738.03816,29548.97787,37955.04242,55448.42139,50350.22593,64865.40533,28484.43164,53083.12046,44012.95585,54459.45251,71824.30594,71111.48723,97788.6344,61997.6072,85333.03523,53638.88885,48276.5939,76753.99435,65587.03745,33977.68649,67000.0683,31423.80957,57945.97937,57624.09638,68018.61024,47878.39719,33049.20203,61632.95864,37325.69097,37326.59716,48854.0587,41615.76639,30531.23261,15961.56881
294.2161a3.71,453495.1632,598053.231,416933.4923,464933.5829,492488.4556,268598.3199,106471.7167,109214.2656,309748.3432,540726.7837,453595.4108,417601.0317,359384.2583,347815.9259,426481.7534,491220.6939,432978.0243,469370.8,378646.4799,357191.5977,354236.3932,284379.7384,355577.9406,268525.4051,182333.2786,444816.7156,346683.1694,331372.0871,549021.6333,486464.7962,192570.4156,372289.8396,339037.4176,533335.6595,293399.2366,366875.6474,569408.8884,467683.2654,566827.9201,973120.3,630954.9328,694072.4393,801556.7415,660509.5677,489509.438,578732.2399,538652.9486,348948.7093,597116.0923,402379.5835,504355.4495,92818.91587,533301.6917,556841.1228,142019.2249,68981.91006,41925.06494,101676.5598,170936.0507,461523.8197,394409.7181,317378.5978,136726.7717,679548.6724,520020.0753,328033.245,202311.438,202424.186,176551.0678,548463.9753,314147.146,328154.8814,371106.8889,99391.80322,415933.0689,314379.8126,270908.3032,231503.6085,480971.4295,526413.4491,431559.1912,353895.9095,156785.1163,165591.6394,561239.9203,306025.3104,209613.1762,264328.5184,230864.3207,131570.9655
311.2266a2,0,0,307695.0299,976919.6219,755371.0341,547477.7901,406829.5588,475022.5992,333575.003,885888.828,806372.1915,259007.2964,272729.6021,177846.4839,610415.1846,360328.0202,154730.0435,282259.282,231572.8529,247893.2911,131900.8367,312674.5503,431560.4603,179019.3118,458738.056,251212.626,150946.6517,147598.3958,235104.6927,221373.9108,98291.53644,149102.6457,349907.8603,460502.2035,156339.3797,134215.7137,270318.8689,195573.2122,273671.6038,278336.7255,283902.9864,214162.375,221883.7854,698585.6247,484752.969,643372.4151,719416.8381,464719.5771,304509.918,165930.3086,388141.1962,176202.9142,574174.9422,597218.2165,315856.8084,677156.4531,206007.1997,686698.2102,395121.1823,402826.5959,482406.1316,582857.5836,591094.1377,292479.2043,155653.9483,216491.3768,234057.9369,181495.7687,170349.8169,430488.9769,218561.9996,231253.8546,248733.5556,214410.1248,276669.9796,227519.0254,259711.5876,163195.0781,313654.5825,393116.7104,302012.0916,171887.4964,162936.77,211062.6361,230527.7044,212929.0638,109116.4479,261116.4302,172509.4657,130500.9797
278.203a2.55,42309.12172,42454.18817,29450.00092,86427.88427,98987.4558,76523.20981,77344.39683,71852.49644,70769.76401,50896.04236,96551.15029,55304.77974,58073.86729,40249.11257,49414.05158,48078.81763,54739.16853,58139.31432,47053.74521,54292.56974,35917.05696,52343.88367,101622.0313,78709.63094,100616.6077,60014.45297,32738.78436,31061.66971,132358.6068,42039.63838,31609.06164,39223.46012,48653.40858,75594.05616,42787.55504,43118.81892,57016.16195,28534.66189,70448.58353,129426.6684,72813.01259,63812.17682,48279.38045,70757.94169,51265.96522,76968.78826,99607.78267,65821.79216,54288.24889,35352.70053,55251.42434,44944.09245,66419.47651,61211.60266,50456.84367,74273.96026,58063.98041,85002.329,118129.2768,75292.52979,76077.90604,163604.7155,60589.87683,57762.59018,48161.30341,43208.98975,50452.33946,82193.89234,50137.63213,52625.39438,31737.37397,45896.37181,43635.73818,45140.41378,48724.7233,0,59108.88926,46763.54431,50221.95152,63465.70164,49183.52247,39635.63682,39074.67129,25228.4817,61234.89697,30793.22918,31987.1597,38194.65848,28276.32274,23214.3801
1139.8097a4.62,34722.16698,12259.99022,45623.30122,270947.78,284986.2758,181806.2069,209047.388,289635.3273,159114.704,181299.1148,171003.1824,110574.9057,65445.53234,52302.20956,114217.228,65954.25363,199984.5017,169003.4847,217092.0698,91400.93737,95336.4146,277012.6561,391530.1486,263515.1677,402185.0521,255437.2358,134473.4288,106650.9629,444240.2106,144503.4526,107773.6361,130522.5935,172371.7157,303897.1407,347678.2152,128933.0302,190661.5512,83330.09592,314920.403,735165.981,321828.1976,165158.3459,443945.1967,476255.9969,214825.287,412353.2558,599170.3427,478138.7905,323123.6378,168250.7561,444526.7719,506226.8488,1180986.259,671012.6838,508016.5738,1159217.541,374625.1835,555061.5835,837652.55,492957.0724,327795.1501,611251.9047,288511.2605,239288.0486,208348.5201,128486.2742,275035.1922,301128.8573,116796.3773,198790.2931,100919.2606,209484.0611,180057.0464,153672.1649,160611.3851,524720.9903,712076.5845,181682.2703,385822.0251,699021.7528,407069.6234,206428.5318,449634.2988,1282081.065,424368.765,197191.4618,64702.30124,183180.0625,509119.8764,138930.8079
586.4027a5.27,0,0,144420.234,660509.0353,451476.5975,256476.8174,225469.8359,172409.2124,284221.2305,497183.7841,445608.3347,264972.9388,170625.623,218906.9757,197025.6717,485414.349,659557.8271,239666.5086,355638.5381,673825.4855,204968.4947,429997.7256,203712.9401,586278.0928,636869.6873,452558.5982,186907.922,150515.1853,1002961.132,213192.2371,134506.5312,162967.214,404747.5897,791438.0324,740711.5582,414949.6066,915823.1205,649501.7253,675047.1998,850330.2646,593043.0645,628112.7036,625817.5057,697258.6373,796514.6303,958497.7451,548570.7141,309319.6851,257789.6608,139413.2863,1037638.534,1028675.694,1694380.242,1449024.864,641129.05,520625.1608,46875.66263,2349125.616,1248005.537,825091.7558,840962.5211,286388.3538,813457.9264,604274.3398,147473.096,63796.31188,39272.33086,60814.16016,11910.39976,378287.2273,135346.5849,195189.2991,221454.6796,144268.2474,240894.5022,865064.0395,383071.6862,541978.4684,800149.1825,760561.1029,1333899.079,1008361.044,770988.0829,889531.4261,1186710.052,638500.2039,110812.8269,316388.6572,716981.324,103450.0239
705.4814a3.01,0,44419.5808,4445.818096,0,0,0,4297.331571,6999.39127,0,0,0,4712.043125,0,0,0,0,12265.38772,13136.57609,0,0,0,0,4106.810561,0,0,0,18397.45186,0,0,19000.49267,0,5130.731381,0,12221.47413,0,0,29444.05961,0,4797.59944,0,0,0,17731.87781,132597.7989,101839.9652,8225.938536,56491.55886,75222.18972,68785.61411,86832.67782,54515.78011,0,0,0,0,0,7629.560357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3457.23842,0,0,0,0,0,0,13996.8672,0,20134.03631,0,3292.014781
596.7457a4.22,0,0,57540.46986,181599.2599,131396.7832,79322.11257,78722.39845,70405.09465,44302.76445,153138.0809,145406.3953,47837.7638,45124.85913,35152.71039,101648.2159,74206.94385,32001.18014,36900.35367,45005.17551,45035.60372,24658.79548,50329.97038,59361.28911,36631.40977,82302.5364,53241.97392,26360.29391,24121.69719,48596.57802,32278.47306,14250.1728,20888.16146,64600.86967,69617.8741,38070.10087,26927.12817,57177.52277,35649.44683,54998.39895,65783.36136,58395.08494,44528.92366,53071.1293,70140.36329,43451.61525,146665.0197,108533.7716,69251.97697,37065.94993,19100.91195,46479.48463,38045.10042,115742.9471,118589.1079,65882.0359,103429.6044,71487.65302,171251.1062,98078.7724,83966.37863,96576.41418,100033.5021,123578.4525,62231.39116,33300.42382,45816.8602,28674.95,29694.42234,25480.99063,83658.7054,35141.0533,36036.96385,43565.72527,36019.7807,47601.97371,48528.53872,50988.63864,21140.18114,65654.23675,50226.14328,67534.78296,42501.89726,57028.1637,55182.88774,59011.20893,45778.47458,20359.65746,46067.22433,37303.48038,21884.27639
300.161a2.12,193764.0175,235283.6776,119973.6348,113877.1734,111147.5059,140337.0496,215184.5789,168055.6427,149131.9404,128541.871,233938.1051,146725.6937,62565.63185,71439.78379,237480.1008,155016.3805,138975.3941,234542.5587,82231.41798,193455.8149,35841.51843,280036.6518,96451.32976,216600.3024,224120.0273,233999.9495,87249.14418,71442.13034,517681.172,48577.52247,74227.97017,0,103517.4688,321833.7683,78051.75347,176715.1401,200366.375,93831.4138,281128.7712,487333.3344,160320.3409,205496.6323,355142.2129,172545.518,135169.0372,159118.0648,249477.7087,130052.052,160414.6715,130589.5932,175961.6355,330549.3056,283572.176,294053.637,521400.0945,342265.052,26599250.51,227411.2997,138131.9942,245764.3867,187115.7917,283286.0625,196357.7314,120819.6793,99012.65405,154429.1438,181204.3836,190759.2698,134072.5342,137065.5599,167753.2481,107979.8313,215512.8147,111977.0375,159955.1936,299749.3796,280984.084,209195.8221,343288.1798,382638.9273,212705.081,115674.7072,184883.7049,206832.759,167279.563,117390.0852,90656.27899,118570.6062,216971.8419,12446.08623
332.2911a5.06,0,3597.844711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107207.4276,0,49201.87721,72996.86908,0,0,0,62492.26658,0,60895.28776,0,0,97724.11347,0,17088.24283,0,0,83816.86243,70263.04008,41567.18813,93518.89948,86542.4045,85758.32002,126547.1863,22484.64761,63222.1688,92170.40543,55833.7144,0,0,0,0,0,0,55375.75857,58507.36931,260507.8577,254757.1157,43211.33625,91299.3174,52830.56211,162603.4085,147450.4444,41578.97889,96661.12831,0,115709.333,79057.10979,0,0,0,0,0,0,0,0,0,0,0,36309.56978,0,41272.30562,89990.70699,0,74901.42186,99813.68223,121301.7973,125793.5001,144553.0504,81675.59412,0,0,39272.1633,0
1771.2222a4.66,0,0,0,154031.9399,110338.4842,68466.15835,0,0,66177.21576,112845.3807,82006.81198,55363.69111,0,62478.55116,0,108697.6031,113828.2191,63839.45527,77393.0926,129436.517,51919.13769,79633.97159,0,154476.5976,129971.0476,107689.9393,54343.78254,0,250099.5828,0,35540.44255,39545.50425,93107.50831,151919.4774,170688.917,0,156011.8882,0,157617.6465,0,77839.46357,113781.1149,128532.2508,263672.3311,215933.2761,214590.5572,160647.948,84484.27866,92069.48372,55779.96297,204852.6079,170403.6263,358114.7443,249228.2362,121440.4586,112951.0196,0,491546.2747,246274.9151,160848.1802,215260.1348,98961.71013,155955.7315,113626.8467,0,19634.09504,0,0,0,113620.694,36193.46691,0,50356.20812,0,42844.08405,138444.8971,56293.49849,89548.92386,109167.6037,108308.2385,238258.8008,201098.1395,153680.8489,164386.1208,193899.2834,122876.828,27101.13206,58225.96493,117049.1009,25491.87052
1273.87a3.96,11093.56041,0,13150.46801,10209.2504,17073.52127,0,19275.79812,0,0,15094.02052,0,0,0,13544.15328,0,17847.33667,155501.9188,291588.3647,37385.13987,90231.26753,202029.2908,196272.1485,111779.015,116512.1473,98986.78717,161291.0414,86867.43571,54745.44971,471314.3823,118661.2916,23017.70095,143005.0241,54543.25464,362904.1602,152494.7774,129263.3729,385118.515,92071.22423,338029.0341,340643.7042,242875.5571,139183.9453,0,174692.672,61689.08747,77795.94761,94715.9007,29462.35751,123281.0265,23868.98217,130359.6637,196999.3688,0,0,0,0,242638.6542,191153.9097,224275.1488,317968.1974,507915.8653,205841.8649,111884.9128,294937.0063,0,66358.90404,61824.76735,56446.90117,106828.9618,112463.3685,11699.09563,15004.47992,13167.81259,12758.26314,68685.38483,92108.14633,266492.7801,153579.9712,232504.1025,318893.3375,184950.0141,255261.7655,170129.9354,222610.8489,234728.1599,155501.1961,110712.3084,58340.39176,0,42622.0235
184.1136a2.95,0,0,8300.300532,53210.15103,29308.73714,12875.93247,7291.294266,11103.97895,14804.10004,39785.7902,21241.46112,14864.72439,8385.727438,13496.33287,11142.10596,28245.79446,47687.7229,12932.93069,19349.27883,35528.60303,10440.93466,17978.75315,8935.640349,33258.00107,28469.52487,26337.68817,9468.013411,5704.524001,65851.53033,11287.54133,6105.625573,8605.777033,25714.90928,45813.35504,50508.08648,22732.05601,55568.206,39613.98595,42496.7297,61101.38981,33573.52838,30198.40151,47402.04137,50900.79813,42311.24528,48114.8922,29754.12349,13078.358,12601.08538,6245.566079,50879.80074,61266.34438,121936.1601,97070.93103,38582.04541,32750.85889,13170.53578,175800.2713,72136.02915,54472.80238,53292.88663,25214.12693,27601.44051,34386.84864,8793.059795,0,0,0,0,28264.224,7263.202567,5152.736297,10737.36445,0,10085.6826,45380.95221,21014.79089,23528.13486,51033.25481,51643.60721,91448.71692,62468.25228,43907.59976,50704.62282,72246.71236,38125.06598,4789.136099,22051.82997,46433.74416,6899.608911
150.0902a0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39437.87549,0,0,12435.43725,0,0,0,41432.42845,0,0,0,0,90113.72355,0,0,0,0,18654.25427,34179.42968,0,14687.26856,0,50694.60426,66966.44596,15689.31286,0,31863.09626,0,0,0,0,0,0,0,0,79557.96049,193471.46,127915.3712,112926.2724,169601.0989,117812.5163,84089.53019,150729.961,96998.94102,35039.30283,0,64915.7835,40145.89918,0,0,0,0,0,0,0,0,0,0,0,45530.16622,64748.09256,7326.70616,48536.26304,44665.48636,38416.02007,30789.39178,25044.01044,48357.68567,34532.40209,27841.44285,0,17104.01387,70106.80722,0
1222.794a2.59,381460.0749,100216.0531,150306.5889,59531.91711,335964.5288,314613.6529,267959.6612,419925.2507,73022.3122,174528.2907,337492.6843,325352.7596,437886.0731,234282.4158,193234.4823,227817.506,145806.0091,211165.8039,636009.9906,311182.374,207759.6431,590090.8821,367229.4172,48582.78533,660351.8799,659076.7449,374677.1158,154532.5681,458174.3501,267879.923,118189.382,198546.65,210762.9506,372979.2192,166964.0938,102226.3638,107809.6324,158101.5131,214267.4287,399609.3263,68434.64403,17093.55078,102447.8061,51415.32996,149004.8222,306796.4442,365789.3575,286374.2199,273538.1629,117961.2983,254857.2869,35193.6414,116702.1084,645489.7406,89786.75093,158118.1948,143944.1522,1151027.757,873878.3726,711530.4148,135309.2529,467208.3358,664831.3963,339001.4983,61355.65879,382939.9199,48660.60257,63667.93982,786258.7768,550713.8585,290240.5911,355081.2433,28456.01616,165234.5169,441242.5938,162336.546,53435.15679,39494.8558,60021.54901,66119.3383,147649.7453,226065.7134,40390.12747,275972.7115,55247.77476,35602.85102,113393.6651,32538.41317,58643.76695,16544.72572
